A33_1	A33
A12_1	A12
A33_2	A33
A12_2	A12
A41_2	A41
M35_1	M35
M35_2	M35
M29_1	M29
M29_2	M29
A32_1	A32
A12_3	A12
M31_2	M31
A20_1	A20
A41_1	A41
A20_2	A20
M8_2	M8
M27_1	M27
M27_2	M27
M31_3	M31
M31_4	M31
M31_1	M31
A22_1	A22
A22_2	A22
M23_1	M23
M23_2	M23
M8_1	M8
A33_6	A33
A33_7	A33
A33_8	A33
A41_3	A41
A41_4	A41
A41_5	A41
A41_6	A41
A41_7	A41
A41_8	A41
M35_3	M35
A12_4	A12
M35_4	M35
M35_5	M35
M35_6	M35
M35_7	M35
M35_8	M35
AM36_1	AM36
AM36_2	AM36
AM36_3	AM36
AM36_4	AM36
AM36_5	AM36
A12_5	A12
AM36_6	AM36
M29_3	M29
M29_4	M29
M29_5	M29
M29_6	M29
M29_7	M29
M29_8	M29
A32_2	A32
A32_3	A32
A32_4	A32
A12_6	A12
A32_5	A32
A32_6	A32
A32_7	A32
M31_5	M31
M31_6	M31
M31_7	M31
M31_8	M31
M31_9	M31
M31_10	M31
A20_3	A20
A12_7	A12
A20_4	A20
A20_5	A20
A20_6	A20
A20_7	A20
A20_8	A20
A22_3	A22
A22_4	A22
A22_5	A22
A22_6	A22
A22_7	A22
A12_8	A12
A22_8	A22
M23_3	M23
M23_4	M23
M23_5	M23
M23_6	M23
M23_7	M23
M23_8	M23
AM7_1	AM7
AM7_2	AM7
AM7_3	AM7
A12_9	A12
AM7_4	AM7
AM7_5	AM7
AM7_6	AM7
M8_3	M8
M8_4	M8
M8_5	M8
M8_6	M8
M8_7	M8
M8_8	M8
M27_3	M27
A33_3	A33
M27_4	M27
M27_5	M27
M27_6	M27
M27_7	M27
M27_8	M27
A33_4	A33
A33_5	A33